feature,importance_type,importance,importance_normalized
dem_slope_median,cover,389.1169738769531,0.034052473976446396
clim_tmin_mean_12m_median,cover,345.14141845703125,0.030204077332073337
clim_aet_sum_12m_median,cover,301.9962463378906,0.02642834933913071
clim_tmin_mean_12m_mean,cover,281.9524230957031,0.02467427070682999
clim_pr_sum_12m_stdDev,cover,270.856689453125,0.023703258886531055
clim_pr_sum_12m_median,cover,258.4573974609375,0.022618169835587107
clim_pr_sum_12m_mean,cover,243.77999877929688,0.02133371870597243
clim_pet_sum_12m_median,cover,239.7571258544922,0.0209816683335161
s1_vv_minus_vh_median_12m_stdDev,cover,228.2906494140625,0.01997821200340818
clim_def_sum_12m_median,cover,210.48358154296875,0.018419876705835208
s2_bsi_median_12m_median,cover,196.924072265625,0.017233254513028626
s1_vv_minus_vh_median_12m_median,cover,195.29151916503906,0.017090386235094165
dem_aspect_sin_stdDev,cover,194.96405029296875,0.017061728720791546
clim_tmax_mean_12m_median,cover,189.81991577148438,0.016611554303626236
dem_elevation_median,cover,185.366455078125,0.01622182225761762
s1_vv_median_12m_mean,cover,182.2519073486328,0.015949261401558765
s1_vv_median_12m_median,cover,179.813720703125,0.01573589037724018
s2_b8_median_12m_stdDev,cover,175.0277099609375,0.015317056152082812
s2_b3_median_12m_stdDev,cover,174.3832244873047,0.015260655824437329
s1_angle_median_12m_median,cover,174.25491333007812,0.015249427035575174
dem_elevation_mean,cover,168.99465942382812,0.014789090758112444
s1_vv_minus_vh_median_12m_mean,cover,167.51646423339844,0.01465973067712525
s2_ndmi_median_12m_mean,cover,163.91278076171875,0.014344364486809615
dem_aspect_cos_median,cover,162.26344299316406,0.014200027346020072
qa_sentinel2_image_count,cover,160.54986572265625,0.014050068466485176
hydro_surface_water_seasonality_mean,cover,158.49842834472656,0.01387054271300738
s1_vh_median_12m_median,cover,154.2986297607422,0.01350300919072863
clim_aet_sum_12m_mean,cover,144.87818908691406,0.012678605907325143
dem_slope_mean,cover,144.7402801513672,0.012666537195975856
dem_aspect_cos_stdDev,cover,142.2512969970703,0.01244872085852585
hydro_surface_water_seasonality_median,cover,139.50274658203125,0.012208189224686958
clim_aridity_pr_pet_12m_mean,cover,130.78060913085938,0.011444895977374287
hydro_upstream_area_median,cover,129.8741912841797,0.011365573377210341
