feature,importance_mean,importance_std,scoring,n_repeats
clim_tmin_mean_12m_mean,0.021386307923594704,0.0035175930573230064,average_precision,5
clim_tmin_mean_12m_median,0.01094201702704296,0.0023543636376466143,average_precision,5
dem_elevation_mean,0.008900503480510169,0.0014445992460074795,average_precision,5
clim_pet_sum_12m_median,0.004741978320876794,0.0015098231190775746,average_precision,5
s1_vv_minus_vh_median_12m_median,0.004655263434954193,0.0005870790078207011,average_precision,5
clim_aet_sum_12m_median,0.004460756481464601,0.0016444975520584024,average_precision,5
dem_elevation_median,0.0042185121999633425,0.000989905688642038,average_precision,5
s1_vv_minus_vh_median_12m_stdDev,0.002435077485863757,0.001076172502448927,average_precision,5
qa_sentinel1_image_count,0.002399265109009763,0.0009880211783356192,average_precision,5
s2_b8_median_12m_stdDev,0.0022304235590435264,0.00017287120118948614,average_precision,5
qa_sentinel2_image_count,0.0021967518021203335,0.001572998056918097,average_precision,5
clim_aridity_pr_pet_12m_mean,0.00206392985744881,0.0007080700319235569,average_precision,5
s1_vv_minus_vh_median_12m_mean,0.002053729123696746,0.000612275023881401,average_precision,5
s1_vh_median_12m_median,0.001807016288413532,0.0005950781810016293,average_precision,5
clim_pr_sum_12m_median,0.0017547948888338328,0.0008973802939719195,average_precision,5
clim_pr_sum_12m_mean,0.0017534246644765883,0.0010978898057039247,average_precision,5
s1_angle_median_12m_median,0.001720558400838157,0.0005589291010152491,average_precision,5
s2_mndwi_median_12m_stdDev,0.0016461502309178088,0.00016723991400266602,average_precision,5
hydro_upstream_area_median,0.0015172749165182965,0.0017096984611645436,average_precision,5
s2_mndwi_median_12m_median,0.0013588451703784531,0.0009222062589566092,average_precision,5
dem_elevation_stdDev,0.0013454016060333806,0.0008107355623809178,average_precision,5
clim_pet_sum_12m_mean,0.0012953261605811895,0.0003811081812270174,average_precision,5
clim_tmax_mean_12m_mean,0.0012352177561595346,0.0002098258914406125,average_precision,5
dem_aspect_sin_mean,0.0012271122036053629,0.0006802887177382606,average_precision,5
s2_b3_median_12m_stdDev,0.0011770842594360786,0.0008938044198420867,average_precision,5
s2_b11_median_12m_stdDev,0.0011764994472732936,0.0012165085989483033,average_precision,5
s1_angle_median_12m_mean,0.0011025245360679393,0.0001569131774581512,average_precision,5
dem_aspect_sin_stdDev,0.0010881675694942583,0.0005288508817172796,average_precision,5
clim_aet_sum_12m_mean,0.0010835625237944012,0.0005516305099124132,average_precision,5
s1_vh_median_12m_mean,0.0010499714115555392,0.00018145111407937627,average_precision,5
clim_def_sum_12m_median,0.0010193508504076965,0.0005876683186142721,average_precision,5
dem_tpi_500m_stdDev,0.0007587957480259088,0.00022155967033973486,average_precision,5
dem_tpi_500m_median,0.0006491124312808738,0.0005783291995687471,average_precision,5
s2_b12_median_12m_stdDev,0.0006446638737155341,0.0003293743893861343,average_precision,5
hydro_upstream_area_stdDev,0.000614467058496948,0.000847895522628888,average_precision,5
s2_nbr_median_12m_median,0.0005408212106211118,0.0002274699536596902,average_precision,5
dem_aspect_sin_median,0.0004921668903220322,0.0003289608428857288,average_precision,5
s1_vv_median_12m_stdDev,0.0004895665422139262,0.00034768198106492127,average_precision,5
dem_slope_stdDev,0.00048408038666551966,0.000305778613060345,average_precision,5
dem_tpi_500m_mean,0.0004818085115929627,0.0002949647907980173,average_precision,5
s2_b4_median_12m_stdDev,0.000431542522597228,9.957477715584497e-05,average_precision,5
s2_ndmi_median_12m_mean,0.0004071874343005044,0.00040061422956877267,average_precision,5
s1_angle_median_12m_stdDev,0.0004002414749581185,0.00046281013780082356,average_precision,5
clim_tmax_mean_12m_median,0.0003818813401797128,0.00035902227810067234,average_precision,5
s1_vv_median_12m_median,0.0003653200863006134,0.0006760568336609882,average_precision,5
s1_vh_median_12m_stdDev,0.00033524606990058546,0.0004351133825417887,average_precision,5
s2_ndmi_median_12m_stdDev,0.000315562595403529,0.00019843979900642777,average_precision,5
dem_aspect_cos_mean,0.000301317667216483,0.00024201925757321856,average_precision,5
s2_b12_median_12m_mean,0.0002844851169674145,0.00019703131952527686,average_precision,5
hydro_upstream_area_mean,0.0002516959210079328,0.0003064349725927652,average_precision,5
clim_def_sum_12m_mean,0.00019901781973878928,0.00029731359813882813,average_precision,5
s2_b3_median_12m_median,0.00019534680963522176,9.208643465694238e-05,average_precision,5
s1_vv_median_12m_mean,0.00017312282186410233,0.0007196125251128158,average_precision,5
s2_ndvi_median_12m_mean,0.00016518812184953546,0.0002574766228440646,average_precision,5
s2_ndvi_median_12m_median,0.00015178402233084753,0.0004381488458508785,average_precision,5
